sno,project_id,ro_pd_name,project_name,project_number,land_required_ha,land_available_ha,land_to_be_acquired_ha,url
1520,61280,CE-NH (PWD Mahrashtra),"CONSTRUCTION OF BRIDGES,CD WORKS IN KM 156/00(JAWHAR) TO 195/900( MANOR) and Four lane with paved shoulders in KM 195/900(MANOR) to 215/620(PALGHAR)OF NH160 A TO SINNAR (NH-60) – GHOTI (NH-848) – TRIMBAKESHWAR – MOKHADA –JAWHAR – VIKRAMGAD – MANOR (NH-48) – PALGHAR road IN THE STATE OF MAHARASHTRA",,79.2,0,79.2,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=61280
1521,61287,RO Bhubneswar,"Reconstruction of 3 bridges on NH-326 at Toyaput Nallah at km 261/060, Khudipadar Nallah at km 268/780 and Debagarh river at km 270/260 in the State of Odisha",,10,0,10,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=61287
1522,61289,(RO Chennai),Land Acquisition for 4/6 laning of Coimbatore to Sathyamangalam and 2 laning with/ without paved shoulder from Sathyamangalam to Tamil Nadu/ Karnataka Border section of NH 948 (Old NH 209)(Existing Km 306.715 to Km 211.980) (Design Km 304.193 to Km 211.980) for Design length of 92.213 Km in the state of Tamil Nadu,,332,31,301,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=61289
1523,61290,(RO Chennai),Construction of Elevated Highway at Elephant corridor from Km 389/0- 391/4 of NH 67 (Km 56/0 to Km 58/4 of NH-181) in the state of Tamil Nadu,,4.74,0.44,4.3,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=61290
1524,61291,RO Guwahati,Construction of Two-Lane Highways connection NH-108 in Mamit and NH-06 in Bairabi in the State of Mizoram.,,107.0965,21.2344,85.8621,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=61291
1525,61292,(RO Chennai),Widening of Service Road in Mettupalayam side approach of Periyanaickenpalayam flyover from Km 31/600 - Km 32/000 of NH 181 (Coimbatore - Ooty - Gundalpet Road) in the state of Tamil Nadu,,0.03,0,0.03,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=61292
1526,61293,CE-NH (PWD Mahrashtra),Land acquisition on National Highway No. 60 SPUR Bhimashankar-Taleghar-Wada-Rajgurunagar Road in from (K.m. 2+928 to 63+378 K.M.) in the State of Maharashtra.,,144.334,37.523,106.811,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=61293
1527,61294,CE-NH (PWD Mahrashtra),Land acquisition on National Highway NH- 61SPUR Junner - Ghodegaon – Taleghar Section of Bankarphata-Junnar Talegarh Road in from (K.m. 13+880 to 69+820 K.M.) in the State of Maharashtra.,,157.118,89.068,68.05,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=61294
1528,61295,RO Shimla,Land Acquisition for Reconstruction Widening/Strengthening to two Lanes including Geometrical Improvement Nagrota-Bagwan-Ranital-Mubarikpur road Km. 0/000 to Km. 5/000 and Km. 18/00 to Km. 39/000 NH-20A ( New NH-303) in the State of Himachal Pradesh.,,36.3442,2.5881,33.7561,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=61295
1529,61296,(RO Chennai),Land Acquisition for Four Lane Alignment of Tuticorin-Tiruchendur-Kanyakumari road from Km 0/000 - Km 104/920 of NH-32 in the state of Tamil Nadu,,650,0,650,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=61296
1530,61297,CE-NH (PWD) Telangana,Widening and Strengthening of existing 2 lane with paved shoulder to 4 lane with paved shoulder from Km 150/0 to 159/0 and Km 165/4 to 186/0 of NH-163 (Old NH-202) under NH(O)-TSP for the year 2020-21 on EPC mode in the State of Telangana,,5,0,5,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=61297
1531,61298,RO Guwahati,Construction for two lanning with paved shoulder from Sivasagar on NH-2 connecting Simalguri and terminating at its junction with new NH-702 at Sonari (NH-702C),,139.517,45.095,94.422,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=61298
1532,61300,CE-NH (PWD Mahrashtra),Consultancy Services for Feasibility Study and Preparation of Detailed Project Report for Sr. No. 3 work Satara Koregaon- Mhaswad- Malshiras- Akluj- Tembhurni- Kurduwadi-Barshi- Yedshi- Murud- Latur having four/two lane road with paved sholders configuration in the state of Maharashtra.,,218.433,202.89,15.543,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=61300
1533,61301,(RO Lucknow),"Construction of new 2-Lane/4- Lane Major bridges at km 3+500 on Kali River, km 39+840 on Ganga River, km 53+250 on Ram Ganga River & 03 Minor Bridges at km 31+425, km 31+710, km 44+665 and 01 ROB at km36+645 of NH-730C in the state of Uttar Pradesh.",,39.2336,20.55,18.6836,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=61301
1534,61302,Project Sampark (BRO),SRehabilitation and up - gradation to 2 Lane with paved shoulder from existing chainage km 199.150 to km 229.817 ( Design chainage km 162.800 to km 198.250 under 31 TF on Akhnoor - Poonch Road (NH - 144A ) Under Project Sampark ( BRO) in the U.T. of Jammu & Kashmir on EPC Mode,,63.77,23.2,40.57,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=61302
1535,61305,CE-NH (PWD) Telangana,Widening to 2/4 lane with paved Shoulders from Km 130/700 to 184/460 of Duddeda-Siddipet-Siricilla section of NH-365B in the State of Telangana,,262.12,31.08,231.04,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=61305
1536,61306,(RO Dehradun),Preparation of detailed project report (DPR) for Widening and Strengthening of Single/Intermediate lane to 2 lane from Existing Chainage (km. 11.700 to km. 40.500) from Badwala to Lakhwar bend design chainage (km. 11.700 to km. 37.200) on NH -123 (New NH no. 507) in the State of Uttarkhand.,,58.08,21.6,36.48,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=61306
1537,61308,CE-NH (PEW) Andhra Pradesh,Construction of 4 lane ROB and its approaches in lieu of existing Level Crossing No. 102 at Km 281/2 on NH-205 bewteen chandragiri and Tirupati west stations in the state of A.P,,30,20,10,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=61308
1538,61309,CE-NH (PWD Mahrashtra),Reconstruction & Upgradtation to 2 lane with paved shoulder configuration for the work of Sautada to Shirapur Section of NH-561 from design Km. 86+300 to Kn. 125+589 in the State of Maharashtra on EPC mode. (Design Length-39.289 Km),,125.223,88.713,36.51,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=61309
1539,61312,RO Guwahati,Construction for 2-laning from Nikashi to Indo - Bhutan Border via Subankhata including Nikashi Bypass of NH-127E in the State of Assam.,,329.85,109.95,219.9,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=61312
1540,61313,(RO Jaipur),Upgradation to 2-Lane with Paved Shoulder from Design Km 36+300 to Design Chainage 47+918 and from Design Ch 69+900 to Design Ch 83+940 of NH-248A (Natni Ka Bara) in the State of Rajasthan on EPC Mode.,,150,0,150,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=61313
1541,61316,(RO Chennai),Capacity augmentation of various selected stretches on NH-234 (New NH-38 & NH-75)in the district of Villore and Tiruvannamalai in the State of TAMIL NADU,,884.802,290.451,594.351,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=61316
1542,61317,(RO Chennai),Capacity augmentation of various selected stretches on NH-234 (New NH-38)in the district of Villupuram in the state of Tamil Nadu,,70,0,70,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=61317
1543,61318,(RO Jaipur),Jhunjhunu - Chirawa - HR Border 4 lane from km 57/00 to km 129/0 of NH-11 in State of Rajasthan.,,500,0,500,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=61318
1544,61321,CE-NH (PWD Mahrashtra),Construction of new Two Lane ROB near Bhendegaon in lieu of L.C. No. 165-B at Design Ch. 60+780 along with approaches (Ch. 60+179 to 61+278) of NH-752I in the State of Maharashtra on EPC mode.,,1,0,1,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=61321
1545,61324,CENH GOA MoRTH,Land Acquisition for Construction of Toll Plaza at Ch.476+500 of NH66 in the state of Goa,,1.5468,1.188,0.3588,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=61324
1546,61326,(RO Bangalore),Widening to 4-Lane from Km.344.500 to Km.400.150 (Sira-Byrenahalli Section) of NH-69 in the State of Karnataka,,60,0,60,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=61326
1547,61329,(RO Gandhinagar),Upgradation of 2L PS on National Highway no. 151K from Km. 0/00 to Km. 118/100 (Porbandar-Bhanvad-Jamjodhpur-Kalavad Road) in the state of Gujarat.,,450,50,400,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=61329
1548,61332,(RO Gandhinagar),Upgradation to 2 Lane with paved shoulder between Naliya to Narayan Sarovar of NH 41 from Km. 221/800 to Km. 290/200 in the state of Gujarat.,,205,95,110,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=61332
1549,61335,(RO Jaipur),Construction of VUP near Marwar Industrial Cluster (MIC) on NH-62 Jodhpur-Pali Section from km. 340.0 to 341.550 in the State of Rajasthan on EPC mode.,,5,0,5,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=61335
1550,61340,RO Jammu MoRTH,"Providing Retaining Wall, B/Walls, Minor Bridges, Signages, Crash Barriers & Slop Protection in the selected reaches of NH-1C (New NH--144) form Km 24 to Km 41 in the UT of Jammu and Kashmir on EPC mode.",,0.0202343,0,0.0202343,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=61340
1551,61341,CE-NH (PWD Mahrashtra),Rehabilitation and Upgradton to two lanes with paved shoulders configuration of Kalyan-Murbad- Malshj Ghat -Nirmal NH-61 from Km. 37/850 to Km. 57/900 (Murbad to Kadampada Section) in the State of Maharashtra on EPC mode under Annual Plan 2024-25.,,50.02,34.32,15.7,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=61341
1552,61344,(RO Gandhinagar),Upgradation of National Highway no. 927K from km. 0/00 to Km. 64/900 (Ranavav-Bhanwad-Khambhaliya) in the state of Gujarat.,,150,35,115,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=61344
1553,61347,(RO Jaipur),Construction of 2Lane with PS of Gangapur city Bypass of NH-23.,,160,0,160,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=61347
1554,61348,(RO Jaipur),Construction of 2 lane wtih PS of Karauli bypass on NH-23,,150,0,150,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=61348
1555,61350,(RO Jaipur),Pratapgarh- Padi Section of NH-113 from km 80 to km 180 in the State of Rajasthan.,,10,0,10,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=61350
1556,61351,CE-NH (PEW) Andhra Pradesh,consultancy services for preparation of detailed project report for widening of two lane with paved shoulders/ four lane from Km 0.000 to 107.660 of pamarru-digamarru road of NH-165 in the state of andhra Pradesh (Package\:I from Km 61.740 to 107.66,,100,50,50,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=61351
1557,61354,(RO Jaipur),Construction of 4 lane of NH 552 Extn from km. 69/750 to km 75/750 in Rajasthan.,,50,0,50,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=61354
1558,61355,RO Ranchi,Development of NH-133 from km 93.00(Hansdiha) to Km 131.00 (Chopa more)to four Lane in Dumka and Deoghar district in the State of Jharkhand.,,150,0,150,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=61355
1559,61362,RO Bhubneswar,Widening of NH-20 from Mangalpur to Kayangola including spur to Aradi (km 35/800 to 47/600) in the State of Odisha,,25,0,25,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=61362
1560,61363,CENH GOA MoRTH,"Four laning of Ponda to Bhoma section of NH-748 from Km.125.440 to Km.135.050 in the State of Goa in Villages Cundaim, Cuncoliem, Velinga & Priol of Ponda Taluka (Additional Area)",,42.93,40.29,2.64,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=61363
1561,61364,(RO Jaipur),Land acquisition for Construction of ROB at LC-95 (Ramgarh) on Alwar-Nuh Section of NH-248A in the State of Rajasthan.,,5,0,5,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=61364
1562,61368,CE-NH (PWD) West Bengal,"Development of newly declared NH-131A from ch. 0+000 km to ch. 49+050km from NH-34 (new NH-12) junction near Malda Town connecting bridge over river Fulahar at Nakatti point near Bihar border in the district of Malda, West Bengal.",,50,0,50,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=61368
1563,61369,RO Jammu MoRTH,"Construction of flyover at Sanatnagar Junction including its approaches, the length of the flyover including approaches is 0.850 km i.e. section km 292+950 to km 293+800 of NH-44 at Srinagar in the UT of Jammu & Kashmir on EPC mode.",,0.0615375,0,0.0615375,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=61369
1564,61370,CE-NH (PWD) Jharkhand,"Land Acquisition in Approach Roads For HL Bridge in Km 208/1 in the work of Construction of HL Bridges at Ch.195/2, Ch.198/2, Ch.198/3, Ch.199/4, Ch.208/1, Ch.208/4, Ch.210/1 & Ch.211/1 on NH-143 (Old NH-23)in the state of jharkhand under EPC Mode. ( Job No. NH-143 (Old NH-23) /JHR/2024-25/05).",,2,0,2,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=61370
1565,61374,CE-NH (PWD Mahrashtra),"Strengthening, Upgradation & Widening of Nandur -Shingote -Kolhar Sectionof NH-160D km. 00/00 to 47/370 (Nandur Shingote - Kolhar Section). Total Length - 47.37 Km (2L+PS) Configuration in the State of Maharashtra onEPC Mode.",,125.91,125.12,0.79,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=61374
1566,61375,(RO Jaipur),Construction of flyover/VUP on Ajmer Nagaur Section of NH-89 (New NH-58) (i) Tehla at km 38/240 (ii) Construction of Flyover/VUP at Kuchera Bypass at km 116/450 and Development of Junction on NH-89 from 0/00 to 148/250 in the state of Rajasthan.(2 VUP),,20,0,20,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=61375
1567,61376,CE-NH (PWD Mahrashtra),"Construction of Major High Level bridges across Panvel -Mahad-Panjim Road NH-66 (Old-17) at Km. 91/400 God River, 94/400 Kal River & Km.161/400 Choradi River in Raigad District in the State of Maharashtra.",,0.349,0,0.349,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=61376
1568,61380,CE-NH (PEW) Andhra Pradesh,Construction of proposed 4 - Lane ROB and its approaches in lieu of existing Level Crossing No . 45 C at Km 93/400 ( Railway Chainage 70/903) on NH - 205 in the state of Andhra Pradesh,,40,20,20,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=61380
1569,61381,CE-NH (PWD Mahrashtra),Land Acquisition required for the work of Rehabilitation and Upgrading to four/ Six Lane divided carraigeway in Km. 185/550 to 201/350 ( Pune -Nashik Road NH-50) in the State of Maharashtra.,,2.35,1.2,1.15,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=61381
1570,61382,(RO Chennai),Development of Vellakovil - Sankagiri Road from Km 0.0 to Km 59.097 of NH-381A in the State of TAMIL NADU.,,241.48,17.908,223.572,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=61382
1571,61388,CE-NH (PWD) Jharkhand,Construction of Bridges on 8th Km of NH 220 on EPC Mode under NH (O) in the State of Jharkhand for the year 2020-21 – [Job No. NH-220-JHR-2020-21-296]Construction of Bridges on 8th Km of NH 220 on EPC Mode under NH (O) in the State of Jharkhand for the year 2020-21 – [Job No. NH-220-JHR-2020-21-296],,5.5196,4.8701,0.6495,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=61388
1572,61391,(RO Gandhinagar),Land acquisition on National Highway No. 151AD (Khambhaliya – Advana – Porbandar Road) in the State of Gujarat,,150,50,100,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=61391
1573,61394,(RO Chennai),Capacity augmentation of various selected stretches on NH-85 (Old NH-230) in the State of TAMIL NADU.,,489.768,164.992,324.776,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=61394
1574,61396,RO Bhubneswar,Widening to 2L+PS from km 239/280 (Koksara) to km 294/280 (Nabarangpur) of NH-26 in the State of Odisha,,200,0,200,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=61396
1575,61400,RO Patna,Construction of 4/6 Lane Elevated Corridor from Saristabad-Beur More-Anisabad (Patna) to Phulwari-AIIMS from Km 0.000 to Km 9.053 on NH-139 (Old NH-98) at Patna in the State of Bihar.,,0.7069,0,0.7069,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=61400
1576,61402,RO Bhubneswar,Construction of 4 lane road in Champua Town in the state of Odisha on EPC mode.,,18.394,0,18.394,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=61402
1577,61404,RO Bhubneswar,Construction of elevated corridor of NH 55 from OMP Square from ch 264/161 to 267/700 km and 269/260 to 271/040km and DLPS with service road from ch. 267/700 to 267/260 km and ch 271/040 to 277/484km in the state of Odisha for the year 2024-25,,10,0,10,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=61404
1578,61405,RO Bhubneswar,Construction of Mahendra Tanaya Bridge at km 92/250 on NH 326A in the stste of Odisha under EPC mode under Annual Plan 2024-25,,50,0,50,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=61405
1579,61406,RO Bhubneswar,New Construction of major bridge over Nagavali River on NH 326 at ch. 192/830 km in the state of Odisha under AP 2024-25.,,2.5,0,2.5,https://bhoomirashi.gov.in/auth/revamp/prep_public.cshtml?nid=1&project_id=61406
